pair,adf_p,beta,tr_sharpe,te_sharpe,te_total,te_trades,te_sharpe_maker
ALGO/COMP,0.4843790122738477,1.2348960645748044,-0.6083259541298278,1.9223295284460888,3.035374360279935,34,2.0043161539481718
ALGO/CRV,0.2263186408527943,1.0875522625125187,0.5723620612369129,1.052715485533459,1.6234310826582703,34,1.1388962496468678
ALGO/DOGE,0.6573168656487632,1.597015721688039,-0.2612388905498025,-0.722651350921254,-1.1772858384207519,25,-0.6604312081417528
ALGO/DOT,0.482851150512765,1.3133562899900855,0.7165251379946656,0.7073246089109451,0.7793680133004315,33,0.8240225137337649
ALGO/ETC,0.08390510424375347,1.6272709809721502,-0.7450666623600035,1.4111009342819498,1.8606491050805105,33,1.5043707141828842
ALGO/ETH,0.2918544080296539,0.8922687599195749,-0.5171983243878009,-0.9478375242532612,-1.109999587678977,28,-0.8496340105761526
ALGO/FET,0.3676745327301911,-0.07440170055628062,-0.8335024610507932,0.28553235157940526,0.4092383426795527,31,0.3721986613751339
ALGO/FIL,0.31344905869788464,1.066970245294927,0.9681511006002798,0.6618538676460286,0.9189844017839216,32,0.7519787113034524
ALGO/LINK,0.4498102060242084,0.6464819327026632,-0.2015190402097054,-0.5631629803295546,-0.5992849140019976,28,-0.4566184098717212
ALGO/LTC,0.3165694208676286,1.06536420822292,-1.0093991590831322,-0.19163582328523004,-0.21188242299129645,28,-0.08990163008016294
ALGO/MANA,0.06097951336118621,0.9841792349860262,-0.1524556720844331,0.8368692613966803,0.9622288149038608,36,0.9591204341637465
ALGO/MKR,0.7467849746446715,0.9177350477891858,-0.9457209450858757,-1.1817384738708283,-1.56083296728419,26,-1.0996566680705588
ALGO/NEAR,0.7101440092749858,0.7821480825421497,0.12175456940722157,-0.9001408464711677,-1.0264825257533419,27,-0.8030956628273026
ALGO/OP,0.4126026291518523,-0.05995308029279429,-0.5996021701151513,0.5010835166291928,0.7166486476447458,33,0.5925608246890302
ALGO/SAND,0.29978060862511924,1.0629237453949223,0.930816849631522,1.6585584471967822,2.6641392840345866,30,1.7269581807210261
ALGO/SHIB,0.6738742549145706,1.3851655645743446,0.058236514071192076,0.8096030781525981,1.0372601311899634,35,0.9171799133613736
ALGO/SOL,0.6192835063937032,0.5207865559670399,0.17136604139464814,-0.4658302629790903,-0.5624657515568865,34,-0.3517782620315468
ALGO/SUI,0.2602849489041797,0.4471442335717046,-1.9868779795548772,1.0662875072449365,0.563772348305532,21,1.2183446064679737
ALGO/UNI,0.6674878815433766,1.6242432735835728,-0.48390608422846415,0.5975765105642069,1.030041759860901,31,0.667691492096191
ALGO/XLM,0.6087653698801866,1.5562880708324822,-0.7303587224315297,-0.07527305505866204,-0.1432025198729468,33,-0.005878010721777976
ALGO/XRP,0.3737308882355631,0.7159422167677582,-0.9180832250436822,-0.06039706455070804,-0.03018901716703118,16,0.06727487375921287
APE/ARB,0.07849025733689807,0.7947361943973357,0.003253446961041619,1.0821215524009613,0.8288471843266081,23,1.1981041987114398
APE/ATOM,0.4840703978466798,1.6801368746164786,1.0865947355502683,0.28602915358470127,0.4903708336657702,31,0.3575308902427317
APE/AVAX,0.9098749284540723,0.41615365470453236,-0.39593842753968655,-0.3023765628466521,-0.5256698091700449,34,-0.22370817918441083
APE/BCH,0.14071231085083158,-0.48106850787605215,-0.4617902638071737,-0.12150510333205436,-0.2628144722898617,31,-0.06313856393691636
APE/BNB,0.8924417693546229,0.6613072857998212,-0.4680461194683791,-0.8398972473190893,-1.4848074302222614,30,-0.7705656247335417
APE/BTC,0.1648881954774345,-0.6175435197450345,-0.5469544439387021,-0.5451820219698085,-1.1589805013158634,29,-0.4888516711203228
APE/COMP,0.8683886874528692,0.8096188148983016,0.2718762466087689,0.9614539613635961,1.4344600400909615,35,1.0528813002924908
APE/CRV,0.02144489849547573,1.440715178390746,0.7691593582714029,-0.44142841036095876,-0.97172263050354,32,-0.3816248689840139
APE/DOGE,0.7674149660196259,0.3740295727025385,-0.28058115804327216,-0.25170327242551027,-0.44452628618546314,34,-0.1743859769280194
APE/DOT,0.9329441144551174,1.200502064599043,0.12435903833667572,-0.4808169542310789,-0.8203969917910123,27,-0.4156060883008545
APE/ETC,0.8358516954004658,1.0877633859746907,-0.25050588986656536,-0.07544054461095935,-0.12697911981337973,32,0.0006053233734638732
APE/ETH,0.3739810850640015,-0.24320294102040677,-0.3259962607945013,-0.25645562570523345,-0.5154214076016121,30,-0.19635444362563378
APE/FET,0.4406031905186767,-0.3165956936864598,-0.5703999881834286,-0.09221256702067272,-0.19548390268695243,26,-0.042145267251741336
APE/FIL,0.8870536883284317,0.9899176838251001,0.6484846791611967,0.40935229089431496,0.570074192985466,31,0.4977729017580996
APE/LINK,0.27229350775931005,-0.371516231603406,0.0102177242631116,-0.15811442896129882,-0.3377349094452152,30,-0.10174619596184162
APE/LTC,0.7582482690801383,0.5377504718475465,-0.7597207932043091,-0.3741366221364909,-0.6516982753729507,31,-0.3023253114916464
APE/MANA,0.561177349438119,1.1446908424732056,0.29228093893968776,0.38465334314602223,0.6939966417365395,28,0.4469867157445242
APE/MKR,0.562203184998788,0.012075669585082783,-0.2059692827426477,-0.11299150481557724,-0.15770810687235703,26,-0.03839348535792974
APE/NEAR,0.9811775661215143,0.5788748413871837,-0.03664349030437423,-0.4361246708609092,-0.7357267698841436,32,-0.35950222220837186
APE/OP,0.6858359995859693,-0.4252419169113364,-0.4526459324164129,-0.608689939792151,-1.3542889269592688,25,-0.5627722797612904
APE/SAND,0.42258389672639707,1.6093488145761659,0.05970559745608075,0.37456288899938295,0.9433717701603421,27,0.4176126701604016
APE/SHIB,0.966265268831323,0.7320083035428038,-0.0958647136364341,-0.41423145622813445,-0.6734931716638798,31,-0.3373122347217633
APE/SOL,0.47767314782863474,-0.044325248379052176,-0.563791131459824,-0.08880664678333273,-0.16927665349479104,30,-0.025799680266262635
APE/SUI,0.46732406085358114,0.03415757488951099,-0.40214956034082644,-0.3961202546148497,-0.4378291658619169,18,-0.3304184818177629
APE/UNI,0.8350716830342082,0.7623531667596342,0.10323124365162059,-0.13362563886366405,-0.21996934573511906,34,-0.05089187836835726
APE/XLM,0.7727046840299473,0.6105889801136761,-1.0680917231237812,-0.7302714129211851,-1.1690217053790297,33,-0.6466937111511243
APE/XRP,0.273195776183449,0.2340764486922606,-0.26619755825530983,-0.6145348021499505,-0.7170526415263785,18,-0.5520138639640684
ARB/ATOM,0.12110626349326686,1.1529665489620433,0.07526659259606404,-0.3881401247554114,-0.3033852717506881,21,-0.27684399069003124
ARB/AVAX,0.7300501050852195,0.21684123860519594,-0.3718413944890166,-0.1275159788539948,-0.11740566672573877,26,-0.014506140901680148
ARB/BCH,0.6184391478692862,-0.1273636478598781,0.17351242875373915,0.18722608549933126,0.1977584445131022,23,0.27545567505639534
ARB/BNB,0.5171113891562048,-0.2909463172743839,-0.25201198565618993,0.1778963680058342,0.1983703301219722,23,0.2614598444465129
ARB/BTC,0.5732703392468981,-0.2172700806695816,0.214284841273983,-0.006218371533058538,-0.006762984040462661,23,0.07997095506334573
ARB/COMP,0.5457428386450686,0.8763069658486848,0.3154224677801733,0.8043243411779961,0.7008925364767649,21,0.898418019199908
ARB/CRV,0.4260236651882233,0.7985892083146248,-0.17183673896786947,-0.08947243927201474,-0.0720528008937491,20,0.012305112227578519
ARB/DOGE,0.559661150788994,-0.11846755128018498,0.07931931575624948,0.08368575238721081,0.09318572060640434,24,0.17118358801630162
ARB/DOT,0.6317822450240934,1.1401608976831465,0.35859147121406315,-0.24393474399167353,-0.15944916703091605,18,-0.1301787154454603
ARB/ETC,0.8697825949581366,0.884860235602463,0.30979994318042114,0.29931464386973294,0.21507206610395385,25,0.43643957881042245
ARB/ETH,0.6852269214415744,0.09774708547418666,-0.11631675700313675,0.3651820820288346,0.33215303682716535,24,0.4688554106955455
ARB/FET,0.6377801454528216,-0.0359316486990879,0.17420853049566906,0.19028091439526576,0.19179769976382516,21,0.27474211832106843
