ts,o,h,l,close,vol,dt
1676246400000,1.545,1.652,1.395,1.506,297262.3,2023-02-13 00:00:00+00:00
1676332800000,1.498,1.775,1.449,1.712,212809.71,2023-02-14 00:00:00+00:00
1676419200000,1.72,2.087,1.69,1.999,191090.11,2023-02-15 00:00:00+00:00
1676505600000,2.017,2.134,1.69,1.778,181553.91,2023-02-16 00:00:00+00:00
1676592000000,1.761,1.99,1.741,1.859,230157.71,2023-02-17 00:00:00+00:00
1676678400000,1.861,1.931,1.787,1.853,80414.7,2023-02-18 00:00:00+00:00
1676764800000,1.854,1.865,1.695,1.716,57769.7,2023-02-19 00:00:00+00:00
1676851200000,1.72,1.755,1.616,1.715,140961.79,2023-02-20 00:00:00+00:00
1676937600000,1.716,1.876,1.649,1.704,96103.05,2023-02-21 00:00:00+00:00
1677024000000,1.692,1.693,1.518,1.618,64757.6,2023-02-22 00:00:00+00:00
1677110400000,1.615,1.704,1.546,1.576,68258.35,2023-02-23 00:00:00+00:00
1677196800000,1.566,1.678,1.408,1.456,103119.39,2023-02-24 00:00:00+00:00
1677283200000,1.456,1.469,1.313,1.409,63248.14,2023-02-25 00:00:00+00:00
1677369600000,1.405,1.575,1.391,1.531,50504.82,2023-02-26 00:00:00+00:00
1677456000000,1.527,1.566,1.443,1.472,45083.33,2023-02-27 00:00:00+00:00
1677542400000,1.483,1.63,1.447,1.455,118380.51,2023-02-28 00:00:00+00:00
1677628800000,1.464,1.571,1.437,1.556,96959.53,2023-03-01 00:00:00+00:00
1677715200000,1.551,1.579,1.418,1.529,52635.23,2023-03-02 00:00:00+00:00
1677801600000,1.533,1.539,1.322,1.36,103226.69,2023-03-03 00:00:00+00:00
1677888000000,1.364,1.37,1.178,1.237,49076.81,2023-03-04 00:00:00+00:00
1677974400000,1.231,1.282,1.178,1.199,36821.53,2023-03-05 00:00:00+00:00
1678060800000,1.195,1.236,1.163,1.213,86843.51,2023-03-06 00:00:00+00:00
1678147200000,1.213,1.286,1.144,1.183,44811.83,2023-03-07 00:00:00+00:00
1678233600000,1.184,1.191,1.057,1.078,59871.1,2023-03-08 00:00:00+00:00
1678320000000,1.08,1.174,0.998,1.044,75201.54,2023-03-09 00:00:00+00:00
1678406400000,1.04,1.072,0.898,1.063,116788.09,2023-03-10 00:00:00+00:00
1678492800000,1.061,1.093,0.902,0.981,113830.04,2023-03-11 00:00:00+00:00
1678579200000,0.982,1.277,0.955,1.235,167047.3,2023-03-12 00:00:00+00:00
1678665600000,1.23,1.394,1.149,1.266,231761.04,2023-03-13 00:00:00+00:00
1678752000000,1.278,1.469,1.227,1.385,165866.06,2023-03-14 00:00:00+00:00
1678838400000,1.388,1.506,1.171,1.245,185055.58,2023-03-15 00:00:00+00:00
1678924800000,1.25,1.38,1.23,1.346,90286.93,2023-03-16 00:00:00+00:00
1679011200000,1.338,1.568,1.312,1.568,83751.11,2023-03-17 00:00:00+00:00
1679097600000,1.568,1.591,1.417,1.459,97780.77,2023-03-18 00:00:00+00:00
1679184000000,1.459,1.576,1.399,1.471,98060.14,2023-03-19 00:00:00+00:00
1679270400000,1.473,1.481,1.33,1.33,83499.63,2023-03-20 00:00:00+00:00
1679356800000,1.34,1.39,1.273,1.336,57300.22,2023-03-21 00:00:00+00:00
1679443200000,1.344,1.484,1.295,1.372,192171.85,2023-03-22 00:00:00+00:00
1679529600000,1.373,1.404,1.313,1.338,57576.31,2023-03-23 00:00:00+00:00
1679616000000,1.34,1.343,1.192,1.21,41538.19,2023-03-24 00:00:00+00:00
1679702400000,1.216,1.23,1.131,1.152,22867.36,2023-03-25 00:00:00+00:00
1679788800000,1.154,1.258,1.154,1.235,30859.1,2023-03-26 00:00:00+00:00
1679875200000,1.217,1.23,1.099,1.151,27458.86,2023-03-27 00:00:00+00:00
1679961600000,1.152,1.187,1.089,1.183,29594.99,2023-03-28 00:00:00+00:00
1680048000000,1.184,1.31,1.172,1.293,44055.74,2023-03-29 00:00:00+00:00
1680134400000,1.285,1.305,1.219,1.263,39083.46,2023-03-30 00:00:00+00:00
1680220800000,1.265,1.387,1.207,1.373,74867.11,2023-03-31 00:00:00+00:00
1680307200000,1.372,1.379,1.305,1.35,32595.44,2023-04-01 00:00:00+00:00
1680393600000,1.359,1.361,1.248,1.278,20991.65,2023-04-02 00:00:00+00:00
1680480000000,1.278,1.346,1.23,1.289,62902.06,2023-04-03 00:00:00+00:00
