sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
ETH,-1,2025-11-03 15:00:00+00:00,5.0,2.0,-2.871248212439337,-101.49723049990288,444.0120536672521,422.46375397584245,870.2390941351268
ETH,-1,2025-12-01 00:00:00+00:00,5.0,2.0,-17.218566413210734,78.04809202053508,142.93527159818686,-635.5344635957861,-1296.8967768113894
ETH,-1,2025-12-12 15:00:00+00:00,5.0,2.0,-68.6424306001232,-60.49786123608403,-114.02397109655294,-89.55768472697744,267.14187514049416
ETH,-1,2025-12-26 14:00:00+00:00,5.0,2.0,-25.54860922973523,-54.18362762816153,-32.40729627127514,-109.36176487734927,-61.72818337385699
ETH,-1,2026-01-06 17:00:00+00:00,5.0,2.0,-199.5326488037441,-180.42512670479738,146.87732970812385,230.98175075020544,309.3225913558828
ETH,-1,2026-01-21 16:00:00+00:00,5.0,2.0,-307.0539419087148,-438.9695712309805,-235.9958506224058,-325.6915629322266,-245.95435684647393
ETH,-1,2026-01-31 14:00:00+00:00,5.0,2.0,471.8122524581758,367.57374529547417,883.1701117263391,656.9193481644942,929.0823464501763
ETH,-1,2026-02-23 01:00:00+00:00,5.0,2.0,-134.0027178016001,-277.01084963654756,65.08703436077789,-353.52990660253215,-1066.8449774595024
ETH,-1,2026-02-28 06:00:00+00:00,5.0,2.0,-350.1630434782621,-575.3260869565202,-903.6413043478265,-543.5326086956516,-843.5326086956518
ETH,-1,2026-03-21 23:00:00+00:00,5.0,2.0,-119.19849453693621,7.824951514104894,194.6156652648956,-283.6184880081416,-372.2852698888191
ETH,1,2025-07-10 21:00:00+00:00,5.0,2.0,-8.34516686968767,105.45868132903368,-75.88044875461941,-119.2887764235584,-46.907913775582344
ETH,1,2025-08-22 14:00:00+00:00,5.0,2.0,518.0466354722735,178.9485552717518,299.24500318737836,400.1569838289321,-4.206472764172187
ETH,1,2025-10-01 08:00:00+00:00,5.0,2.0,81.74996678251833,29.371245550606773,232.0561503621299,423.76180386068717,461.15186565685474
ETH,1,2025-10-12 14:00:00+00:00,5.0,2.0,397.57960020631253,411.9460064661395,402.0329345460483,274.99968549898665,14.668327232012501
ETH,1,2025-10-21 14:00:00+00:00,5.0,2.0,-191.2969941175735,-403.53691750923406,-449.0542103495876,-363.043937867652,-330.68437612704946
ETH,1,2025-12-02 15:00:00+00:00,5.0,2.0,38.67210250436681,168.46659455861612,271.8695398951665,541.176470588236,88.0272901239687
ETH,1,2025-12-09 15:00:00+00:00,5.0,2.0,253.90378220793818,234.98195646747487,322.9653644300501,-219.78902472472362,-544.17198522002
ETH,1,2026-01-13 22:00:00+00:00,5.0,2.0,-2.6725763636137323,-135.3404682113546,69.27678281863692,-39.428008600290724,-104.8010281911771
ETH,1,2026-01-21 19:00:00+00:00,5.0,2.0,-121.17440927475465,-160.506967528532,-382.22338666099034,-377.3109106093109,-322.0946797884361
ETH,1,2026-02-25 01:00:00+00:00,5.0,2.0,-42.03411751821373,416.11690282608913,702.9502109528618,560.8373446536885,61.9559945553827
ETH,1,2026-03-23 11:00:00+00:00,5.0,2.0,161.6213683223977,38.238050609182835,128.3973758200574,226.61668228678656,-289.456419868791
ETH,1,2026-04-07 22:00:00+00:00,5.0,2.0,91.46945911360005,121.47865111836076,-134.50065785916564,-136.66348250815696,110.75464556711046
ETH,1,2026-04-13 22:00:00+00:00,5.0,2.0,9.396338404237259,89.92423404960981,-130.5283208190533,29.50705363140793,-21.896444697658836
GIGGLE,-1,2026-01-19 00:00:00+00:00,5.0,2.0,26.08047690014881,9.314456035767193,-443.3681073025331,251.4903129657231,175.11177347242835
GIGGLE,-1,2026-02-23 01:00:00+00:00,5.0,2.0,-294.8207171314743,-235.05976095617552,99.60159362549791,-7.968127490038945,-1278.8844621513929
GIGGLE,-1,2026-03-17 03:00:00+00:00,5.0,2.0,211.17166212534121,425.74931880108966,333.7874659400542,698.2288828337879,698.2288828337879
GIGGLE,-1,2026-03-18 11:00:00+00:00,5.0,2.0,85.56547619047672,126.48809523809534,-0.0,-167.41071428571396,-148.8095238095255
GIGGLE,-1,2026-05-28 03:00:00+00:00,5.0,2.0,319.11203607353445,13.874436351023478,-270.55150884495396,-364.2039542143594,-1061.3943808532777
GIGGLE,1,2026-02-25 21:00:00+00:00,5.0,2.0,-200.90058884655426,-765.5005195704889,-717.0072739868372,-876.3422237616902,-1073.7790093522692
GIGGLE,1,2026-03-18 12:00:00+00:00,5.0,2.0,-671.353251318102,-653.7785588752198,-502.63620386643225,-471.0017574692438,-411.2478031634437
