sym,t,wk,fwd48,fwd24,abs,sgn,sa48,sa24
BTC,2025-10-12 23:00:00+00:00,0.006077345163431502,-0.016610003081245717,0.0019401402750141017,0.006077345163431502,1.0,-166.10003081245716,19.401402750141017
BTC,2025-10-19 23:00:00+00:00,0.015280150108963664,-0.003105990426956251,0.017471081046736225,0.015280150108963664,1.0,-31.05990426956251,174.71081046736225
BTC,2025-10-26 23:00:00+00:00,0.032933594232786856,-0.014540865342625997,-0.003866443081975257,0.032933594232786856,1.0,-145.40865342625997,-38.66443081975257
BTC,2025-11-02 23:00:00+00:00,0.009630883153812775,-0.08189343093174639,-0.03582107922992828,0.009630883153812775,1.0,-818.9343093174639,-358.2107922992828
BTC,2025-11-09 23:00:00+00:00,0.009177009561674554,-0.015943117204695434,0.012302442528735691,0.009177009561674554,1.0,-159.43117204695434,123.0244252873569
BTC,2025-11-16 23:00:00+00:00,-0.0010537016836966728,-0.01393860223463328,-0.02200781665352569,0.0010537016836966728,-1.0,139.3860223463328,220.0781665352569
BTC,2025-11-23 23:00:00+00:00,0.026781521223527616,0.005852541304771197,0.016688959319077545,0.026781521223527616,1.0,58.52541304771197,166.88959319077546
BTC,2025-11-30 23:00:00+00:00,-0.009063530289482258,0.01014622566826806,-0.04492284594765472,0.009063530289482258,-1.0,-101.4622566826806,449.2284594765472
BTC,2025-12-07 23:00:00+00:00,0.012113302451675079,0.025478461352852255,0.0027184109250013577,0.012113302451675079,1.0,254.78461352852256,27.184109250013577
BTC,2025-12-14 23:00:00+00:00,-0.023000628832467784,-0.0033123971970626664,-0.01935788533293681,0.023000628832467784,-1.0,33.12397197062666,193.5788533293681
BTC,2025-12-21 23:00:00+00:00,0.006342134469608851,-0.012670916268101906,-8.578972261685802e-05,0.006342134469608851,1.0,-126.70916268101907,-0.8578972261685802
BTC,2025-12-28 23:00:00+00:00,0.0042700187113178245,0.006151438217175009,-0.008170447617227516,0.0042700187113178245,1.0,61.51438217175009,-81.70447617227516
BTC,2026-01-04 23:00:00+00:00,0.01982602763851027,0.02425946125546763,0.02543658505129298,0.01982602763851027,1.0,242.5946125546763,254.36585051292982
BTC,2026-01-11 23:00:00+00:00,0.0078012055200009645,0.04845356858218586,0.0030989089509989576,0.0078012055200009645,1.0,484.5356858218586,30.989089509989576
BTC,2026-01-18 23:00:00+00:00,-0.019802996100964587,-0.05571061584392145,-0.011027617109683252,0.019802996100964587,-1.0,557.1061584392145,110.27617109683251
BTC,2026-01-25 23:00:00+00:00,-0.03183114303503021,0.029828517198502214,0.019565872463346512,0.03183114303503021,-1.0,-298.28517198502215,-195.6587246334651
BTC,2026-02-01 23:00:00+00:00,-0.08277515612667541,-0.01563856724674917,0.02294895725553614,0.08277515612667541,-1.0,156.3856724674917,-229.4895725553614
BTC,2026-02-08 23:00:00+00:00,0.004797040586165036,-0.021420380661334226,-0.0026761248687545702,0.004797040586165036,1.0,-214.20380661334227,-26.761248687545702
BTC,2026-02-15 23:00:00+00:00,0.00028356871960721897,-0.019267892756842264,0.0009753871022135652,0.00028356871960721897,1.0,-192.67892756842264,9.753871022135652
BTC,2026-02-22 23:00:00+00:00,-0.0015047475597689264,-0.053113312046993544,-0.04429905187547034,0.0015047475597689264,-1.0,531.1331204699354,442.99051875470343
BTC,2026-03-01 23:00:00+00:00,0.0027180627625402742,0.038846145655553554,0.046532322098403744,0.0027180627625402742,1.0,388.46145655553556,465.32322098403745
BTC,2026-03-08 23:00:00+00:00,-0.03166236600514327,0.06026141134218266,0.03723246135552927,0.03166236600514327,-1.0,-602.6141134218266,-372.3246135552927
BTC,2026-03-15 23:00:00+00:00,0.02066873648517875,0.014855954129562532,0.0283859745063475,0.02066873648517875,1.0,148.5595412956253,283.859745063475
BTC,2026-03-22 23:00:00+00:00,-0.031375366145909855,0.039797650063178924,0.04492569640727129,0.031375366145909855,-1.0,-397.97650063178924,-449.2569640727129
BTC,2026-03-29 23:00:00+00:00,2.2736505126408346e-05,0.034363120464177,0.011937891437336479,2.2736505126408346e-05,1.0,343.63120464177,119.37891437336478
