trig_idx,entry_idx,dt,side,bar_dir,atr,range,ratio,gross,net,exit_reason,month,sym
3764,3765,2025-11-17 14:00:00,-1,1,0.006839996253577636,0.026000000000000023,3.801171672630787,0.05376564744510569,0.052445647445105686,time,2025-11,ADA
3813,3814,2025-11-19 15:00:00,1,-1,0.0063373561198784775,0.017299999999999982,2.7298450130859493,0.022802017101512872,0.021482017101512874,time,2025-11,ADA
3838,3839,2025-11-20 16:00:00,1,-1,0.006447736223679129,0.020000000000000018,3.1018638644910106,-0.025757921130613124,-0.027077921130613122,time,2025-11,ADA
3853,3854,2025-11-21 07:00:00,1,-1,0.0076996231987590215,0.03259999999999996,4.2339734242130485,0.0017119100024456687,0.00039191000244566876,time,2025-11,ADA
3983,3984,2025-11-26 17:00:00,-1,1,0.005051425690093078,0.013299999999999979,2.632920053854125,0.000464360343626732,-0.0008556396563732681,time,2025-11,ADA
4022,4023,2025-11-28 08:00:00,-1,1,0.004018071142719173,0.012399999999999967,3.086057852029081,0.033952741454462115,0.032632741454462114,time,2025-11,ADA
4085,4086,2025-11-30 23:00:00,1,-1,0.0036516435793326296,0.010599999999999998,2.9028024695491346,-0.07610533945397432,-0.07742533945397433,time,2025-11,ADA
4086,4087,2025-12-01 00:00:00,1,-1,0.004147954752237442,0.02779999999999999,6.702098181038362,-0.02243424445590507,-0.02375424445590507,time,2025-12,ADA
4125,4126,2025-12-02 15:00:00,-1,1,0.004836000492644497,0.02350000000000002,4.859387428877077,-0.02289184769913579,-0.024211847699135793,time,2025-12,ADA
4148,4149,2025-12-03 14:00:00,1,-1,0.00472998483826629,0.01469999999999999,3.1078323721198378,0.04382100626014369,0.042501006260143685,time,2025-12,ADA
4173,4174,2025-12-04 15:00:00,-1,1,0.004793971460654891,0.014600000000000002,3.0454916387853372,0.023989338071967962,0.022669338071967964,time,2025-12,ADA
4198,4199,2025-12-05 16:00:00,1,-1,0.004952990389718946,0.016900000000000026,3.412080111255577,0.0016932752781810207,0.0003732752781810207,time,2025-12,ADA
4244,4245,2025-12-07 14:00:00,1,-1,0.0035157398196767097,0.011799999999999977,3.3563348271559663,0.04222931500122758,0.040909315001227575,time,2025-12,ADA
4245,4246,2025-12-07 15:00:00,-1,1,0.0041074726896998,0.013000000000000012,3.1649632224213606,-0.008102955195424248,-0.009422955195424248,time,2025-12,ADA
4251,4252,2025-12-07 21:00:00,1,-1,0.004857264902631079,0.012699999999999989,2.6146401842569187,0.034023316678562884,0.03270331667856288,time,2025-12,ADA
4289,4290,2025-12-09 11:00:00,-1,1,0.0045723494783360945,0.016500000000000015,3.608648043675888,-0.07286432160804016,-0.07418432160804016,time,2025-12,ADA
4293,4294,2025-12-09 15:00:00,-1,1,0.005931392478414133,0.017799999999999983,3.000981652247558,0.010066395373741663,0.008746395373741663,time,2025-12,ADA
4365,4366,2025-12-12 15:00:00,1,-1,0.004621076624091939,0.01770000000000005,3.830276240762005,0.0019607843137255465,0.0006407843137255466,time,2025-12,ADA
4409,4410,2025-12-14 11:00:00,1,-1,0.0026040929047403496,0.009299999999999975,3.5713011556042256,-0.017365418010419267,-0.018685418010419265,time,2025-12,ADA
4412,4413,2025-12-14 14:00:00,1,-1,0.00318837176082891,0.011699999999999988,3.669584627408139,0.007268170426065057,0.005948170426065057,time,2025-12,ADA
4436,4437,2025-12-15 14:00:00,1,-1,0.0035948823215265838,0.016100000000000003,4.478588882754599,-0.024757529351710023,-0.026077529351710024,time,2025-12,ADA
4437,4438,2025-12-15 15:00:00,1,-1,0.004488105012846113,0.012300000000000033,2.740577585594424,-0.007007526602647237,-0.008327526602647236,time,2025-12,ADA
4484,4485,2025-12-17 14:00:00,-1,1,0.0037835387786344086,0.016900000000000026,4.46671779748475,0.07061503416856486,0.06929503416856486,time,2025-12,ADA
4485,4486,2025-12-17 15:00:00,1,-1,0.00472042886587481,0.019600000000000006,4.152165101288451,-0.044549266247379496,-0.0458692662473795,time,2025-12,ADA
4486,4487,2025-12-17 16:00:00,1,-1,0.005783255375455181,0.014800000000000035,2.5591123059882475,-0.027718550106609716,-0.029038550106609717,time,2025-12,ADA
4507,4508,2025-12-18 13:00:00,-1,1,0.004052012792366785,0.010799999999999976,2.665342029606892,0.07500000000000001,0.07368000000000001,time,2025-12,ADA
4508,4509,2025-12-18 14:00:00,1,-1,0.0045340118786262994,0.011400000000000021,2.5143295397483514,-0.053214478660183674,-0.054534478660183676,time,2025-12,ADA
